Filename,Avg test R2
157_test_summary.txt,0.1745
158_test_summary.txt,0.0896
159_test_summary.txt,-0.1044
160_test_summary.txt,0.175
161_test_summary.txt,-0.1053
162_test_summary.txt,-0.1055
163_test_summary.txt,-0.2597
164_test_no_op_summary.txt,0.1663
165_test_no_op_summary.txt,0.0735
166_test_no_op_summary.txt,0.1689
167_test_no_op_summary.txt,-0.006
168_test_no_op_summary.txt,0.0358
169_test_no_op_summary.txt,0.0722
170_test_no_op_summary.txt,-0.5313
171_test_no_op_summary.txt,-0.0058
172_test_no_op_summary.txt,-0.5306
173_test_no_op_summary.txt,-0.5278
174_test_no_op_summary.txt,0.1659
175_test_no_op_summary.txt,0.0732
176_test_no_op_summary.txt,0.1687
177_test_no_op_summary.txt,-0.0061
178_test_no_op_summary.txt,0.0353
179_test_no_op_summary.txt,0.0719
180_test_no_op_summary.txt,-0.5315
181_test_no_op_summary.txt,-0.0059
182_test_no_op_summary.txt,-0.53
183_test_no_op_summary.txt,-0.5273
184_test_no_op_summary.txt,0.1858
185_test_no_op_summary.txt,0.133
186_test_no_op_summary.txt,0.188
187_test_no_op_summary.txt,-0.0027
188_test_no_op_summary.txt,0.0538
189_test_no_op_summary.txt,0.1311
190_test_no_op_summary.txt,-0.5107
191_test_no_op_summary.txt,-0.0022
192_test_no_op_summary.txt,-0.5091
193_test_no_op_summary.txt,-0.5037
194_test_no_op_summary.txt,0.1852
195_test_no_op_summary.txt,0.133
196_test_no_op_summary.txt,0.1878
197_test_no_op_summary.txt,-0.0019
198_test_no_op_summary.txt,0.0537
199_test_no_op_summary.txt,0.1307
200_test_no_op_summary.txt,-0.5097
201_test_no_op_summary.txt,-0.0014
202_test_no_op_summary.txt,-0.5079
203_test_no_op_summary.txt,-0.5024
204_test_no_op_summary.txt,0.1812
205_test_no_op_summary.txt,0.016
206_test_no_op_summary.txt,0.1921
207_test_no_op_summary.txt,-0.0069
208_test_no_op_summary.txt,0.0466
209_test_no_op_summary.txt,0.0185
210_test_no_op_summary.txt,-0.5404
211_test_no_op_summary.txt,-0.0066
212_test_no_op_summary.txt,-0.54
213_test_no_op_summary.txt,-0.5378
214_test_no_op_summary.txt,0.1811
215_test_no_op_summary.txt,0.0163
216_test_no_op_summary.txt,0.1919
217_test_no_op_summary.txt,-0.0065
218_test_no_op_summary.txt,0.0455
219_test_no_op_summary.txt,0.0189
220_test_no_op_summary.txt,-0.5413
221_test_no_op_summary.txt,-0.0062
222_test_no_op_summary.txt,-0.5409
223_test_no_op_summary.txt,-0.5386
224_test_no_op_summary.txt,0.2156
225_test_no_op_summary.txt,0.0943
226_test_no_op_summary.txt,0.2234
227_test_no_op_summary.txt,-0.0016
228_test_no_op_summary.txt,0.0758
229_test_no_op_summary.txt,0.0953
230_test_no_op_summary.txt,-0.5272
231_test_no_op_summary.txt,-0.0011
232_test_no_op_summary.txt,-0.5261
233_test_no_op_summary.txt,-0.5213
234_test_no_op_summary.txt,0.2157
235_test_no_op_summary.txt,0.0949
236_test_no_op_summary.txt,0.2236
237_test_no_op_summary.txt,-0.0016
238_test_no_op_summary.txt,0.0755
239_test_no_op_summary.txt,0.096
240_test_no_op_summary.txt,-0.527
241_test_no_op_summary.txt,-0.0013
242_test_no_op_summary.txt,-0.5259
243_test_no_op_summary.txt,-0.5212
244_test_summary.txt,0.1882
245_test_summary.txt,0.1882
246_test_summary.txt,-0.0024
247_test_summary.txt,0.1841
248_test_summary.txt,0.1409
249_test_summary.txt,0.1931
250_test_summary.txt,0.2513
251_test_summary.txt,-0.0167
252_test_summary.txt,-0.0485
253_test_summary.txt,-0.0024
254_test_summary.txt,0.0352
255_test_summary.txt,0.124
256_test_no_op_summary.txt,0.1669
257_test_no_op_summary.txt,0.1671
258_test_no_op_summary.txt,0.1856
259_test_no_op_summary.txt,0.1849
260_test_no_op_summary.txt,0.1931
261_test_no_op_summary.txt,0.1926
262_test_no_op_summary.txt,0.1745
263_test_no_op_summary.txt,0.1744
264_test_no_op_summary.txt,0.2055
265_test_no_op_summary.txt,0.206
266_test_no_op_summary.txt,0.2192
267_test_no_op_summary.txt,0.2193
268_test_summary.txt,0.1431
269_test_summary.txt,0.1284
270_test_summary.txt,0.207
271_test_summary.txt,0.0982
272_test_summary.txt,0.175
273_test_summary.txt,0.1504
274_test_no_op_summary.txt,0.1669
275_test_no_op_summary.txt,0.1671
276_test_no_op_summary.txt,0.1856
277_test_no_op_summary.txt,0.1849
278_test_no_op_summary.txt,0.1931
279_test_no_op_summary.txt,0.1926
280_test_no_op_summary.txt,0.1745
281_test_no_op_summary.txt,0.1744
282_test_no_op_summary.txt,0.2055
283_test_no_op_summary.txt,0.206
284_test_no_op_summary.txt,0.2192
285_test_no_op_summary.txt,0.2193
286_test_no_op_summary.txt,0.1657
287_test_no_op_summary.txt,0.1661
288_test_no_op_summary.txt,0.1854
289_test_no_op_summary.txt,0.185
290_test_no_op_summary.txt,0.194
291_test_no_op_summary.txt,0.1939
292_test_no_op_summary.txt,0.1874
293_test_no_op_summary.txt,0.1871
294_test_no_op_summary.txt,0.2119
295_test_no_op_summary.txt,0.2122
296_test_no_op_summary.txt,0.2204
297_test_no_op_summary.txt,0.2205
298_test_no_op_summary.txt,0.1669
299_test_no_op_summary.txt,0.1671
300_test_no_op_summary.txt,0.1856
301_test_no_op_summary.txt,0.1849
302_test_no_op_summary.txt,0.1931
303_test_no_op_summary.txt,0.1926
304_test_no_op_summary.txt,0.1745
305_test_no_op_summary.txt,0.1744
306_test_no_op_summary.txt,0.2055
307_test_no_op_summary.txt,0.206
308_test_no_op_summary.txt,0.2192
309_test_no_op_summary.txt,0.2193
310_test_no_op_summary.txt,0.1657
311_test_no_op_summary.txt,0.1661
312_test_no_op_summary.txt,0.1854
313_test_no_op_summary.txt,0.185
314_test_no_op_summary.txt,0.194
315_test_no_op_summary.txt,0.1939
316_test_no_op_summary.txt,0.1874
317_test_no_op_summary.txt,0.1871
318_test_no_op_summary.txt,0.2119
319_test_no_op_summary.txt,0.2122
320_test_no_op_summary.txt,0.2204
321_test_no_op_summary.txt,0.2205
322_test_summary.txt,0.23
323_test_summary.txt,0.2149
324_test_summary.txt,0.2226
325_test_summary.txt,0.2077
326_test_summary.txt,0.1534
327_test_summary.txt,0.1642
328_test_summary.txt,0.1479
329_test_summary.txt,0.1559
330_test_summary.txt,0.207
331_test_summary.txt,0.207
332_test_summary.txt,0.2074
333_test_summary.txt,-0.0002
334_test_summary.txt,-0.0037
335_test_summary.txt,0.1968
336_test_summary.txt,0.19
337_test_summary.txt,0.1911
338_test_summary.txt,0.1877
