Filename,Avg test R2,.py Filename 1,Leak,Reason,.py Filename 2,Leak,Reason
072_pass_t_plus_1_cross_summary.txt,0.3354,072_experiment.py,Y,130
083_pass_t_plus_1_cross_summary.txt,0.3354,083_experiment.py,Y,130
055_pass_t_plus_1_cross_summary.txt,0.3151,055_experiment.py,Y,129
056_pass_t_plus_1_cross_summary.txt,0.3151,056_experiment.py,Y,129
057_pass_t_plus_1_cross_summary.txt,0.3151,057_experiment.py,Y,129
058_pass_t_plus_1_cross_summary.txt,0.3151,058_experiment.py,Y,129
059_pass_t_plus_1_cross_summary.txt,0.3151,059_experiment.py,Y,129
060_pass_t_plus_1_cross_summary.txt,0.3151,060_experiment.py,Y,129
061_pass_t_plus_1_cross_summary.txt,0.3151,061_experiment.py,Y,129
073_pass_t_plus_1_cross_summary.txt,0.3151,073_experiment.py,Y,130
074_pass_t_plus_1_cross_summary.txt,0.3151,074_experiment.py,Y,130
075_pass_t_plus_1_cross_summary.txt,0.3151,075_experiment.py,Y,130
076_pass_t_plus_1_cross_summary.txt,0.3151,076_experiment.py,Y,130
077_pass_t_plus_1_cross_summary.txt,0.3151,077_experiment.py,Y,130
078_pass_t_plus_1_cross_summary.txt,0.3151,078_experiment.py,Y,130
079_pass_t_plus_1_cross_summary.txt,0.3151,079_experiment.py,Y,130
080_pass_t_plus_1_cross_summary.txt,0.3151,080_experiment.py,Y,130
081_pass_t_plus_1_cross_summary.txt,0.3151,081_experiment.py,Y,130
082_pass_t_plus_1_cross_summary.txt,0.3151,082_experiment.py,Y,130
017_r2_uplift_final_v2_S0+PN1_summary.txt,0.3092,017_test.py,Y,181,017_test_no_op.py,Y,178
032_pass_t_plus_1_cross_summary.txt,0.2937,032_experiment.py,Y,126,032_test.py,Y,216
118_test_no_op_summary.txt,0.2623,118_test.py,Y,175,118_test_no_op.py,Y,184
091_pass_t_plus_1_cross_summary.txt,0.2576,091_experiment.py,Y,372,091_test.py,Y,126
095_test_summary.txt,0.2552,095_experiment.py,Y,190,095_test.py,Y,158
094_test_no_op_summary.txt,0.253,094_experiment.py,Y,156
114_test_no_op_summary.txt,0.253,114_test_no_op.py,Y,156
115_test_no_op_summary.txt,0.253,115_test_no_op.py,Y,156
116_test_no_op_summary.txt,0.253,116_test_no_op.py,Y,156
117_test_no_op_summary.txt,0.253,117_test_no_op.py,Y,156
103_test_no_op_summary.txt,0.2529,103_test.py,Y,169,103_test_no_op.py,Y,156
104_test_no_op_summary.txt,0.2529,104_test.py,Y,169,104_test_no_op.py,Y,156
105_test_no_op_summary.txt,0.2529,105_test.py,Y,169,105_test_no_op.py,Y,156
106_test_no_op_summary.txt,0.2529,106_test.py,Y,169,106_test_no_op.py,Y,156
107_test_no_op_summary.txt,0.2529,107_test_no_op.py,Y,156
108_test_no_op_summary.txt,0.2529,108_test_no_op.py,Y,156
109_test_no_op_summary.txt,0.2529,109_test_no_op.py,Y,156
110_test_no_op_summary.txt,0.2529,110_test_no_op.py,Y,156
111_test_no_op_summary.txt,0.2529,111_test_no_op.py,Y,156
112_test_no_op_summary.txt,0.2529,112_test_no_op.py,Y,156
113_test_no_op_summary.txt,0.2529,113_test_no_op.py,Y,156
250_test_summary.txt,0.2513,250_test.py,Y,235
