run_label,DT,TE,W,RM,select_k,svr_C,svr_eps,svr_gamma,e2x_test_r2,x2e_test_r2,avg_test_r2,summary_path
svmgrid_20251119_143036__all_on_K60_C5_E0.2,1,1,1,1,60,5,0.2,scale,-0.9604791202776588,-0.09410420279941545,-0.5272916615385371,reports/summaries/183_test_no_op_summary.txt
svmgrid_20251119_143036__baseline_K60_C10_E0.1,0,0,0,0,60,10,0.1,scale,0.19351820491429528,0.1781508857319023,0.1858345453230988,reports/summaries/184_test_no_op_summary.txt
svmgrid_20251119_143036__dt_K60_C10_E0.1,1,0,0,0,60,10,0.1,scale,0.1291945972800882,0.13682534910069388,0.13300997319039104,reports/summaries/185_test_no_op_summary.txt
svmgrid_20251119_143036__te_K60_C10_E0.1,0,1,0,0,60,10,0.1,scale,0.19351820491429528,0.18246199317083844,0.18799009904256686,reports/summaries/186_test_no_op_summary.txt
svmgrid_20251119_143036__w_K60_C10_E0.1,0,0,1,0,60,10,0.1,scale,0.002504311429137429,-0.007868771047417233,-0.002682229809139902,reports/summaries/187_test_no_op_summary.txt
svmgrid_20251119_143036__rm_K60_C10_E0.1,0,0,0,1,60,10,0.1,scale,0.019022532135995363,0.08856239500187257,0.05379246356893397,reports/summaries/188_test_no_op_summary.txt
svmgrid_20251119_143036__dt_te_K60_C10_E0.1,1,1,0,0,60,10,0.1,scale,0.12660413723911434,0.13563385845896148,0.1311189978490379,reports/summaries/189_test_no_op_summary.txt
svmgrid_20251119_143036__dt_w_K60_C10_E0.1,1,0,1,0,60,10,0.1,scale,-0.9328094234237247,-0.08853303817357161,-0.5106712307986482,reports/summaries/190_test_no_op_summary.txt
svmgrid_20251119_143036__te_w_K60_C10_E0.1,0,1,1,0,60,10,0.1,scale,0.002504311429137429,-0.006909009469777461,-0.0022023490203200158,reports/summaries/191_test_no_op_summary.txt
svmgrid_20251119_143036__dt_te_w_K60_C10_E0.1,1,1,1,0,60,10,0.1,scale,-0.9301147074919107,-0.08818431444746389,-0.5091495109696873,reports/summaries/192_test_no_op_summary.txt
svmgrid_20251119_143036__all_on_K60_C10_E0.1,1,1,1,1,60,10,0.1,scale,-0.9174394471718115,-0.0900295611684443,-0.5037345041701279,reports/summaries/193_test_no_op_summary.txt
svmgrid_20251119_143036__baseline_K60_C10_E0.2,0,0,0,0,60,10,0.2,scale,0.19292267734619317,0.17747978381853136,0.18520123058236226,reports/summaries/194_test_no_op_summary.txt
svmgrid_20251119_143036__dt_K60_C10_E0.2,1,0,0,0,60,10,0.2,scale,0.129071074711398,0.13686040515240172,0.13296573993189986,reports/summaries/195_test_no_op_summary.txt
svmgrid_20251119_143036__te_K60_C10_E0.2,0,1,0,0,60,10,0.2,scale,0.19292267734619317,0.18277004683348086,0.18784636208983702,reports/summaries/196_test_no_op_summary.txt
svmgrid_20251119_143036__w_K60_C10_E0.2,0,0,1,0,60,10,0.2,scale,0.0033710244644904463,-0.007228690349789124,-0.001928832942649339,reports/summaries/197_test_no_op_summary.txt
svmgrid_20251119_143036__rm_K60_C10_E0.2,0,0,0,1,60,10,0.2,scale,0.01791746524470539,0.08950604967326803,0.05371175745898671,reports/summaries/198_test_no_op_summary.txt
svmgrid_20251119_143036__dt_te_K60_C10_E0.2,1,1,0,0,60,10,0.2,scale,0.12604463441315095,0.13536376739706435,0.13070420090510765,reports/summaries/199_test_no_op_summary.txt
svmgrid_20251119_143036__dt_w_K60_C10_E0.2,1,0,1,0,60,10,0.2,scale,-0.9308731275675897,-0.08855408266781284,-0.5097136051177013,reports/summaries/200_test_no_op_summary.txt
svmgrid_20251119_143036__te_w_K60_C10_E0.2,0,1,1,0,60,10,0.2,scale,0.0033710244644904463,-0.006254618869792283,-0.0014417972026509185,reports/summaries/201_test_no_op_summary.txt
svmgrid_20251119_143036__dt_te_w_K60_C10_E0.2,1,1,1,0,60,10,0.2,scale,-0.9275631758185299,-0.08816968174443196,-0.5078664287814809,reports/summaries/202_test_no_op_summary.txt
svmgrid_20251119_143036__all_on_K60_C10_E0.2,1,1,1,1,60,10,0.2,scale,-0.9148496035071758,-0.09002551792632296,-0.5024375607167494,reports/summaries/203_test_no_op_summary.txt
svmgrid_20251119_143036__baseline_K120_C5_E0.1,0,0,0,0,120,5,0.1,scale,0.2006097313485058,0.16172463159029682,0.1811671814694013,reports/summaries/204_test_no_op_summary.txt
svmgrid_20251119_143036__dt_K120_C5_E0.1,1,0,0,0,120,5,0.1,scale,-0.06217013509510361,0.09413077037824447,0.01598031764157043,reports/summaries/205_test_no_op_summary.txt
svmgrid_20251119_143036__te_K120_C5_E0.1,0,1,0,0,120,5,0.1,scale,0.2082955914592467,0.17590278078399813,0.1920991861216224,reports/summaries/206_test_no_op_summary.txt
svmgrid_20251119_143036__w_K120_C5_E0.1,0,0,1,0,120,5,0.1,scale,-0.001898666866424925,-0.01181924494191211,-0.006858955904168518,reports/summaries/207_test_no_op_summary.txt
svmgrid_20251119_143036__rm_K120_C5_E0.1,0,0,0,1,120,5,0.1,scale,0.04856152485330456,0.04467224331174635,0.046616884082525456,reports/summaries/208_test_no_op_summary.txt
svmgrid_20251119_143036__dt_te_K120_C5_E0.1,1,1,0,0,120,5,0.1,scale,-0.059371380112384076,0.09640849086223746,0.018518555374926693,reports/summaries/209_test_no_op_summary.txt
svmgrid_20251119_143036__dt_w_K120_C5_E0.1,1,0,1,0,120,5,0.1,scale,-0.9849644268833013,-0.09581756716662526,-0.5403909970249633,reports/summaries/210_test_no_op_summary.txt
svmgrid_20251119_143036__te_w_K120_C5_E0.1,0,1,1,0,120,5,0.1,scale,-0.0016217364164892167,-0.011655369966607765,-0.006638553191548491,reports/summaries/211_test_no_op_summary.txt
